Question,Section,TotalPoints,Type,CorrectAnswer
Name,Personal Info,0,PI,OpenEnded
Email,Personal Info,0,PI,OpenEnded
Identity Number (SO Number),Personal Info,0,PI,OpenEnded
Contact Number / Mobile Number,Personal Info,0,PI,OpenEnded
Read the text: 'Hello! My name is Ali. I am 20 years old. I am a student.',,,,
How old is Ali?,Reading Comprehension,1,MCQ,20 years old
Complete the sentence: 'I __________ a doctor.',Grammar,1,MCQ,am
Which word is an animal?,Vocabulary,1,MCQ,Cat
"Choose the correct plural form: 'One book, two __________.'",Grammar,1,MCQ,books
Complete the sentence: 'She __________ going to school every day.',Grammar,1,MCQ,is
What is the opposite of 'Big'?,Vocabulary,1,MCQ,small
Choose the correct answer: '__________ is your name?',Grammar,1,MCQ,what
Which color is the sky on a sunny day?,Vocabulary,1,MCQ,Blue
Complete the sentence: 'This is __________ orange.',Grammar,1,MCQ,an
"Choose the correct day: 'If Yesterday was Monday, then Today is __________.'",Vocabulary,1,MCQ,Tuesday
The color of Grass is?,Vocabulary,1,MCQ,Green
2 + 3 = ?,Counting,1,MCQ,5
1 + 1 = ?,Counting,1,MCQ,2
What is the color of Apple?,Vocabulary,1,MCQ,Red
A lemon tastes __________.,Vocabulary,1,MCQ,Sour
